sede_id,ISO3,cantidad_secciones
CBARC,ESP,6
CCHIC,USA,2
CFRAN,DEU,4
CGMUM,IND,3
CGTEL,ISR,2
CGUAY,ECU,2
CHONG,CHN,2
CMIAM,USA,8
CMILA,ITA,3
CNYOR,USA,9
CPABL,BRA,1
CPCAR,MEX,1
CRECI,BRA,5
CRIOJ,BRA,4
CSCRS,BOL,4
CSHAN,CHN,7
CSIDN,AUS,3
CTORO,CAN,3
CURUG,BRA,1
CVIGO,ESP,3
EALEM,DEU,10
EANGO,AGO,6
EARGE,DZA,6
EARME,ARM,3
EASIR,SYR,1
EAUST,AUS,5
EAZER,AZE,5
EBARB,BRB,7
EBELG,BEL,5
EBOLV,BOL,12
EBRAS,BRA,7
ECANA,CAN,4
ECEUR,BEL,6
ECHES,CZE,5
ECHIN,CHN,8
ECOLO,COL,7
ECORE,KOR,5
ECUBA,CUB,5
EDINA,DNK,4
EDOMI,DOM,3
EEARB,ARE,3
EECUA,ECU,8
EEEUU,USA,11
EEGIP,EGY,6
EESPA,ESP,7
EETIO,ETH,4
EFILI,PHL,4
EFINL,FIN,2
EFRAN,FRA,9
EFRUS,RUS,13
EGREC,GRC,4
EGUAT,GTM,3
EHAIT,HTI,7
EHILE,CHL,14
EHOND,HND,4
EINDI,IND,4
EIRAN,IRN,1
EIRLA,IRL,4
EISIA,IDN,5
EISRA,ISR,3
EITAL,ITA,10
EJAMA,JAM,3
EJAPO,JPN,6
EKENY,KEN,6
EKUWA,KWT,5
ELBIA,LBY,2
ELBNO,LBN,5
EMARR,MAR,5
EMEXI,MEX,9
EMOZA,MOZ,8
EMSIA,MYS,3
ENICA,NIC,1
ENIGE,NGA,6
ENORU,NOR,3
ENZEL,NZL,3
EPAKI,PAK,2
EPBAJ,NLD,4
EPERU,PER,7
EPNMA,PAN,4
EPOLO,POL,3
EPORT,PRT,5
EQATR,QAT,5
ERICA,CRI,2
ERUMA,ROU,2
ERUNI,GRB,12
ESAFR,ZAF,4
ESALV,SLV,5
ESERB,SRB,4
ESING,SGP,4
ESSED,VAT,6
ESUEC,SWE,4
ESUIZ,CHE,5
ESURI,SUR,6
ETAIL,THA,6
ETRIA,AUT,11
ETRIN,TTO,1
ETUNE,TUN,7
ETURQ,TUR,4
EUCRA,UKR,4
EUNGR,HUN,5
EURUG,URY,4
EVENE,VEN,5
EVIET,VNM,4
